Business Name,Phone,Website,Email,Primary Category,City,State,Zip,Service Area Cities,Description 1,Description 2
Lancaster Power Washing Pros,717-807-7599,https://powerwashinglancaster.com,cameron@cmeholdings.co,Exterior Cleaning / Pressure Washing,Lancaster,PA,,"Ephrata, Lititz, Manheim, Mount Joy, Columbia, Elizabethtown, Strasburg, New Holland, Quarryville, East Petersburg","Lancaster Power Washing Pros provides professional pressure washing and soft wash services throughout Lancaster County, PA. We remove mold, mildew, algae, and grime from homes, driveways, decks, and commercial properties.",Lancaster Power Washing Pros has served Lancaster and surrounding PA communities with professional pressure washing services. Our licensed and insured team delivers quality workmanship and honest pricing on every job — large or small.
Lancaster Seamless Gutters,717-716-6410,https://gutterinstallationlancaster.com,cameron@cmeholdings.co,Roofing / Gutters,Lancaster,PA,,"Ephrata, Lititz, Manheim, Mount Joy, Columbia, Elizabethtown, Strasburg, New Holland, Quarryville, East Petersburg","Lancaster Seamless Gutters installs seamless aluminum and copper gutters, gutter guards, and downspouts throughout Lancaster County, PA. We protect homes from water damage with custom-fabricated gutters built on-site.",Lancaster Seamless Gutters has served Lancaster and surrounding PA communities with professional gutter installation services. Our licensed and insured team delivers quality workmanship and honest pricing on every job — large or small.
Lancaster Tree Pros,717-297-1693,https://treeremovallancaster.com,cameron@cmeholdings.co,Tree Service / Arborist,Lancaster,PA,,"Ephrata, Lititz, Manheim, Mount Joy, Columbia, Elizabethtown, Strasburg, New Holland, Quarryville, East Petersburg","Lancaster Tree Pros provides professional tree removal, tree trimming, stump grinding, and emergency storm response throughout Lancaster County, PA. Our ISA-trained crews safely handle trees of any size.",Lancaster Tree Pros has served Lancaster and surrounding PA communities with professional tree removal services. Our licensed and insured team delivers quality workmanship and honest pricing on every job — large or small.
Lancaster Garage Door Pros,717-366-0594,https://garagefixlancaster.com,cameron@cmeholdings.co,Garage Door Repair / Installation,Lancaster,PA,,"Ephrata, Lititz, Manheim, Mount Joy, Columbia, Elizabethtown, Strasburg, New Holland, Quarryville, East Petersburg","Lancaster Garage Door Pros repairs and installs residential and commercial garage doors throughout Lancaster County, PA. From broken springs and cables to full door replacement, we offer same-day service.",Lancaster Garage Door Pros has served Lancaster and surrounding PA communities with professional garage door repair services. Our licensed and insured team delivers quality workmanship and honest pricing on every job — large or small.
Lancaster Float Company,717-537-0549,https://lancasterfloatco.com,cameron@cmeholdings.co,Event Decoration / Balloon Artistry,Lancaster,PA,,"Ephrata, Lititz, Manheim, Mount Joy, Columbia, Elizabethtown, Strasburg, New Holland, Quarryville, East Petersburg","Lancaster Float Company creates custom balloon arches, balloon garlands, and event styling for birthdays, baby showers, weddings, and corporate events throughout Lancaster County, PA. Professional delivery and setup included.",Lancaster Float Company has served Lancaster and surrounding PA communities with professional balloon & event styling services. Our licensed and insured team delivers quality workmanship and honest pricing on every job — large or small.
Peoria Epoxy Flooring Experts,309-487-2138,https://peoriaepoxyflooring.org,cameron@cmeholdings.co,Flooring / Concrete Coating,Peoria,IL,,"East Peoria, Pekin, Morton, Washington, Bartonville, Chillicothe, Dunlap, Germantown Hills, Metamora, Groveland","Peoria Epoxy Flooring Experts installs garage floor epoxy, basement coatings, and commercial epoxy systems throughout the Peoria, IL metro area. Polyaspartic and metallic options available.",Peoria Epoxy Flooring Experts has served Peoria and surrounding IL communities with professional epoxy flooring services. Our licensed and insured team delivers quality workmanship and honest pricing on every job — large or small.
Peoria Spray Foam Pros,309-491-4457,https://peoriasprayfoam.org,cameron@cmeholdings.co,Insulation / Energy Efficiency,Peoria,IL,,"East Peoria, Pekin, Morton, Washington, Bartonville, Chillicothe, Dunlap, Germantown Hills, Metamora, Groveland","Peoria Spray Foam Pros installs open-cell and closed-cell spray foam insulation for attics, walls, crawl spaces, and commercial buildings throughout central Illinois. Reduce energy bills and seal air leaks permanently.",Peoria Spray Foam Pros has served Peoria and surrounding IL communities with professional spray foam insulation services. Our licensed and insured team delivers quality workmanship and honest pricing on every job — large or small.
Peoria Junk Removal Pros,309-861-9815,https://peoriajunkremoval.org,cameron@cmeholdings.co,Junk Removal / Hauling,Peoria,IL,,"East Peoria, Pekin, Morton, Washington, Bartonville, Chillicothe, Dunlap, Germantown Hills, Metamora, Groveland","Peoria Junk Removal Pros hauls away furniture, appliances, yard waste, and construction debris throughout the Peoria, IL metro. Same-day and next-day appointments available — we do all the heavy lifting.",Peoria Junk Removal Pros has served Peoria and surrounding IL communities with professional junk removal services. Our licensed and insured team delivers quality workmanship and honest pricing on every job — large or small.
Peoria Water Filtration,309-281-3340,https://peoriawaterfiltration.com,cameron@cmeholdings.co,Plumbing / Water Treatment,Peoria,IL,,"East Peoria, Pekin, Morton, Washington, Bartonville, Chillicothe, Dunlap, Germantown Hills, Metamora, Groveland","Peoria Water Filtration installs whole-house water filters, water softeners, reverse osmosis systems, and well water treatment throughout central Illinois. Clean, safe water for every tap in your home.",Peoria Water Filtration has served Peoria and surrounding IL communities with professional water filtration services. Our licensed and insured team delivers quality workmanship and honest pricing on every job — large or small.
Peoria Deck Pros,309-220-9113,https://peoriadeckpros.com,cameron@cmeholdings.co,Decks / Outdoor Living,Peoria,IL,,"East Peoria, Pekin, Morton, Washington, Bartonville, Chillicothe, Dunlap, Germantown Hills, Metamora, Groveland","Peoria Deck Pros designs and builds custom decks, composite decks, and outdoor living spaces throughout the Peoria, IL metro. Licensed and insured — free estimates on every project.",Peoria Deck Pros has served Peoria and surrounding IL communities with professional deck building services. Our licensed and insured team delivers quality workmanship and honest pricing on every job — large or small.
